CONTROLE CULTURAL;"O controle cultural será baseado, principalmente, nos conceitos ecológicos e biológicos das pragas. Por isso, é importante que você conheça a dinâmica da sua área antes mesmo de decidir por esse tipo de controle.

Embora seja muito importante realizar o controle cultural, mesmo em condições em que você ainda não sabe se a praga realmente estará na sua cultura, é fundamental que você conheça o histórico das pragas que acometeram os plantios anteriores.

Isso é recomendado que seja feito pelo fato de que algumas práticas desse método exigem mais mão-de-obra e podem gerar custos desnecessários.

Ao decidir por este método, priorize as práticas mais essenciais visando o manejo correto.";
Época de plantio e de colheita;"se for possível utilizar cultivares precoces ou tardias para evitar ataque de alguma praga;";
Aração do solo;"para exposição de algumas pragas que persistem no solo após plantio, como larvas e pupas;";
Adubação e irrigação;uma planta quando bem equilibrada nutricionalmente terá maiores condições de tolerar o ataque de pragas e doenças.;
Rotação de culturas;"para o controle de pragas, muitas vezes é necessário realizar a rotação de culturas que não sejam hospedeiras das mesmas pragas;";
Destruição de restos de cultura;"muitas pragas se aproveitam dos restos da cultura anterior para se abrigarem e atacam a cultura que será implementada;";
Cultura no limpo;as plantas que ficam próximas à cultura devem ser retiradas para não serem abrigo ou hospedeiros alternativos.;
;;
CONTROLE BIOLÓGICO;Quando se trata da utilização do método de controle biológico, existe um leque muito grande de possibilidades, embora seja um setor que vem crescendo.;
Controle biológico natural;Como o próprio nome diz, é um controle que ocorre naturalmente no ambiente. Os inimigos naturais presentes na área conseguem controlar as pragas, o que equilibra o ecossistema e mantém as pragas abaixo do nível de dano econômico. Esse tipo é possível de ser feito se houver uma atenção à conservação dos organismos benéficos, principalmente se tratando do uso em conjuntos com pesticidas.;
Controle biológico clássico;"Antigamente, para controle de pragas exóticas, utilizava-se basicamente apenas o controle biológico clássico.

Esse controle consiste na importação de inimigos naturais das pragas oriundas de outras regiões que estão atacando as culturas.

Muitas vezes, esse tipo foi visto como muito oneroso, porque exige que os inimigos naturais fiquem na área e se multipliquem.";
Controle biológico aplicado;"O controle biológico aplicado visa a liberação massal de inimigos naturais para reduzir em um tempo mais curto as pragas presentes na área.

Com o crescimento do setor, as biofábricas têm aumentado as produções dos organismos benéficos.

No ano de 2019, ficou evidenciado que o crescimento tem sido significativo devido ao aumento de cerca de 70% do mercado de biodefensivos em um ano.

Além disso, desde então, o crescimento anual tem sido de 20% e tende a aumentar ainda mais, segundo a Associação Brasileira das Empresas de Controle Biológico (ABCBio- CropLife).";
;;
CONTROLE COMPORTAMENTAL;"Esse é um método que consiste no uso de compostos que alteram a fisiologia das pragas e, consequentemente, as populações são reduzidas.

O controle pode ser feito de diferentes formas e as mais usadas são com hormônios, com atraentes e/ou com repelentes.";
Hormônios endócrinos;"são sintetizados e utilizados como inseticidas conhecidos como “fisiológicos”;";
Feromônios;são substâncias liberadas dos corpos dos insetos para que ocorra comunicação com indivíduos da mesma espécie as quais são sintetizadas para serem utilizadas como controle de confundimento (exemplo: feromônio sexual, feromônio de alarme, feromônio de dispersão).;
Atraentes;"Podemos citar como atraentes tanto as substâncias que atraem os insetos, como os métodos de controle físico, como cor, por exemplo.

As principais substâncias usadas para atrair insetos são oriundas de compostos secundários das plantas, como terpenos, fenóis e alcalóides.

Já os atraentes físicos podem ser armadilhas contendo cor atrativa, luz visível ou também por meio de som.";
Repelentes;"Assim como os atraentes, os repelentes podem ser tanto substâncias químicas, como métodos físicos que irão alterar o comportamento das pragas. Entretanto, eles serão, como o próprio nome diz, repelidos do ambiente.

As substâncias químicas que repelem os insetos têm, em sua maioria, baixo peso molecular e tendem a ser bastante voláteis.

Os insetos detectam com partes do corpo, como antenas ou os tarsos, e mudam de rota.

Como os atraentes, tanto a cor como os sons também podem ser usados para repelir os insetos.";
;;
CONTROLE GENÉTICO;;
Exemplos de controle genético;"Essa é uma técnica de manejo que pode ser implementada no MIP e ainda não é muito difundida em todas as culturas, embora seja uma técnica antiga.

Consiste na manipulação do genoma dos insetos para modificar o potencial reprodutivo da praga, o qual é conhecido como Técnica do Inseto Estéril - TIE.

Você já deve ter ouvido falar sobre o controle do mosquito da dengue, Aedes aegypti, com liberações de machos estéreis.

O que vai acontecer é que, ao encontrar as fêmeas, esses machos não terão capacidade de gerar prole. Em consequência, a população vai reduzir.

Pode e é usada no controle das pragas agrícolas.

A técnica mais utilizada para esterilização dos artrópodes consiste no uso de radiação ionizante, proveniente de radioisótopos, que são elétrons gerados por aceleradores.

A mosca-das-frutas, por exemplo, um inseto-praga que causa muitos prejuízos à diversas culturas frutíferas, pode ser reduzida com essa técnica.

Inclusive, na década de 40, houve erradicação da espécie Cochliomyia hominivorax, na Ilha de Curaçao - a 70 Km da costa da Venezuela, após liberações de massais de machos estéreis.

Existem vários países com biofábricas para a criação massal de insetos estéreis.

No Brasil, houve a implementação da primeira delas, Moscamed, em 2005, na cidade de Juazeiro - BA, inicialmente para controle da mosca-do-mediterrâneo, Ceratitis capitata.";
;;
;;
CONTROLE VARIETAL;"O manejo ou controle varietal, consiste no uso de variedades da cultura que sejam resistentes à pragas específicas.

As variedades podem ser obtidas tanto por melhoramento genético convencional como por transgenia, a qual permite a transferência de características de interesse agronômico para a planta.

A tecnologia Bt é a mais conhecida e muito utilizada no MIP para controle de lepidópteros-praga. É utilizada nas culturas de soja, algodão, milho e cana-de-açúcar.

Além disso, a EMBRAPA há mais de 30 anos desenvolve variedades tolerantes ou resistentes a pragas e doenças.";
"Café com resistência à broca-do-café;";;
"Algodão com resistência ao bicudo-do-algodoeiro;";;
Cana-de-açúcar resistentes à broca-gigante (ainda em desenvolvimento).;;
;;
CONTROLE QUÍMICO;https://92813ac4-b3b4-47f4-a8b3-43c4292d561c.filesusr.com/ugd/2bed6c_d12a93a1ae8b4c83b17b872407dbfb9a.pdf;
1 Inibidores de acetilcolinesterase;;
2 Bloqueadores de canais de cloro mediados pelo GABA;;
3 Moduladores de canais de sódio;;
4 Moduladores competitivos de receptores nicotínicos da acetilcolina;;
5 Moduladores alostéricos de receptores nicotínicos da acetilcolina;;
6 Moduladores alostéricos de canais de cloro mediados pelo glutamato;;
7 Mímicos do hormônio juvenil;;
8 Miscelânea: Inibidores não-específicos (múltiplos sítios);;
9 Moduladores de canais TRPV de órgãos cordonotais;;
10 Inibidores de crescimento de ácaros;;
11 Disruptores microbianos da membrana do mesêntero;;
12 Inibidores de ATP sintetase mitocontrial;;
13 Desacopladores da fosforilação oxidativa via disrupção do gradiente de próton;;
14 Bloqueadores de canais dos receptores nicotínicos da acetilcolina;;
15 Inibidores da biosíntese de quitina, tipo 0, Lepidoptera;Benzoilureias;Bistrifluron, Chlorfluazuron, Diflubenzuron, Flucycloxuron, Flufenoxuron, Hexaflumuron, Lufenuron, Novaluron, Noviflumuron, Teflubenzuron, Triflumuron
16 Inibidores da biosíntese de quitina, tipo 1, Hemiptera;;
17 Disruptores da ecdise, Diptera;;
18 Agonistas de receptores de ecdisteroides;;
19 Agonistas de receptores de ocptopamina;;
20 Inibidores do Complexo III da cadeia de transporte de elétrons na mitocôndria;;
21 Inibidores do Complexo I da cadeia de transporte de elétrons na mitocôndria;;
22 Bloqueadores de canais de sódio dependentes da voltagem;;
23 Inibidores da acetil CoA carboxilase;;
24 Inibidores do Complexo IV da cadeia de transporte de elétrons na mitocôndria;;
25 Inibidores do Complexo II da cadeia de transporte de elétrons na mitocôndria;;
28 Moduladores de receptores de rianodina;;
29 Moduladores de órgãos cordonotais - alvo de ação indefinido;;
30 Moduladores alostéricos de canais de cloro mediados pelo GABA;;
32 Moduladores alostéricos de receptores nicotínicos da acetilcolina (nAChR);;
