cod_regiao,regiao_sp
35001,Jales (SP)
35002,Fernandópolis (SP)
35003,Votuporanga (SP)
35004,São José do Rio Preto (SP)
35005,Catanduva (SP)
35006,Auriflama (SP)
35007,Nhandeara (SP)
35008,Novo Horizonte (SP)
35009,Barretos (SP)
35010,São Joaquim da Barra (SP)
35011,Ituverava (SP)
35012,Franca (SP)
35013,Jaboticabal (SP)
35014,Ribeirão Preto (SP)
35015,Batatais (SP)
35016,Andradina (SP)
35017,Araçatuba (SP)
35018,Birigui (SP)
35019,Lins (SP)
35020,Bauru (SP)
35021,Jaú (SP)
35022,Avaré (SP)
35023,Botucatu (SP)
35024,Araraquara (SP)
35025,São Carlos (SP)
35026,Rio Claro (SP)
35027,Limeira (SP)
35028,Piracicaba (SP)
35029,Pirassununga (SP)
35030,São João da Boa Vista (SP)
35031,Mogi Mirim (SP)
35032,Campinas (SP)
35033,Amparo (SP)
35034,Dracena (SP)
35035,Adamantina (SP)
35036,Presidente Prudente (SP)
35037,Tupã (SP)
35038,Marília (SP)
35039,Assis (SP)
35040,Ourinhos (SP)
35041,Itapeva (SP)
35042,Itapetininga (SP)
35043,Tatuí (SP)
35044,Capão Bonito (SP)
35045,Piedade (SP)
35046,Sorocaba (SP)
35047,Jundiaí (SP)
35048,Bragança Paulista (SP)
35049,Campos do Jordão (SP)
35050,São José dos Campos (SP)
35051,Guaratinguetá (SP)
35052,Bananal (SP)
35053,Paraibuna/Paraitinga (SP)
35054,Caraguatatuba (SP)
35055,Registro (SP)
35056,Itanhaém (SP)
35057,Osasco (SP)
35058,Franco da Rocha (SP)
35059,Guarulhos (SP)
35060,Itapecerica da Serra (SP)
35061,São Paulo (SP)
35062,Mogi das Cruzes (SP)
35063,Santos (SP)
25014,Esperança (PB)
31026,Bom Despacho (MG)
35001,Jales (SP)
35002,Fernandópolis (SP)
35003,Votuporanga (SP)
35004,São José do Rio Preto (SP)
35005,Catanduva (SP)
35006,Auriflama (SP)
35007,Nhandeara (SP)
35008,Novo Horizonte (SP)
35009,Barretos (SP)
35010,São Joaquim da Barra (SP)
35011,Ituverava (SP)
35012,Franca (SP)
35013,Jaboticabal (SP)
35014,Ribeirão Preto (SP)
35015,Batatais (SP)
35016,Andradina (SP)
35017,Araçatuba (SP)
35018,Birigui (SP)
35019,Lins (SP)
35020,Bauru (SP)
35021,Jaú (SP)
35022,Avaré (SP)
35023,Botucatu (SP)
35024,Araraquara (SP)
35025,São Carlos (SP)
35026,Rio Claro (SP)
35027,Limeira (SP)
35028,Piracicaba (SP)
35029,Pirassununga (SP)
35030,São João da Boa Vista (SP)
35031,Mogi Mirim (SP)
35032,Campinas (SP)
35033,Amparo (SP)
35034,Dracena (SP)
35035,Adamantina (SP)
35036,Presidente Prudente (SP)
35037,Tupã (SP)
35038,Marília (SP)
35039,Assis (SP)
35040,Ourinhos (SP)
35041,Itapeva (SP)
35042,Itapetininga (SP)
35043,Tatuí (SP)
35044,Capão Bonito (SP)
35045,Piedade (SP)
35046,Sorocaba (SP)
35047,Jundiaí (SP)
35048,Bragança Paulista (SP)
35049,Campos do Jordão (SP)
35050,São José dos Campos (SP)
35051,Guaratinguetá (SP)
35052,Bananal (SP)
35053,Paraibuna/Paraitinga (SP)
35054,Caraguatatuba (SP)
35055,Registro (SP)
35056,Itanhaém (SP)
35057,Osasco (SP)
35058,Franco da Rocha (SP)
35059,Guarulhos (SP)
35060,Itapecerica da Serra (SP)
35061,São Paulo (SP)
35062,Mogi das Cruzes (SP)
35063,Santos (SP)
25014,Esperança (PB)
31026,Bom Despacho (MG)
35001,Jales (SP)
35002,Fernandópolis (SP)
35003,Votuporanga (SP)
35004,São José do Rio Preto (SP)
35005,Catanduva (SP)
35006,Auriflama (SP)
35007,Nhandeara (SP)
35008,Novo Horizonte (SP)
35009,Barretos (SP)
35010,São Joaquim da Barra (SP)
35011,Ituverava (SP)
35012,Franca (SP)
35013,Jaboticabal (SP)
35014,Ribeirão Preto (SP)
35015,Batatais (SP)
35016,Andradina (SP)
35017,Araçatuba (SP)
35018,Birigui (SP)
35019,Lins (SP)
35020,Bauru (SP)
35021,Jaú (SP)
35022,Avaré (SP)
35023,Botucatu (SP)
35024,Araraquara (SP)
35025,São Carlos (SP)
35026,Rio Claro (SP)
35027,Limeira (SP)
35028,Piracicaba (SP)
35029,Pirassununga (SP)
35030,São João da Boa Vista (SP)
35031,Mogi Mirim (SP)
35032,Campinas (SP)
35033,Amparo (SP)
35034,Dracena (SP)
35035,Adamantina (SP)
35036,Presidente Prudente (SP)
35037,Tupã (SP)
35038,Marília (SP)
35039,Assis (SP)
35040,Ourinhos (SP)
35041,Itapeva (SP)
35042,Itapetininga (SP)
35043,Tatuí (SP)
35044,Capão Bonito (SP)
35045,Piedade (SP)
35046,Sorocaba (SP)
35047,Jundiaí (SP)
35048,Bragança Paulista (SP)
35049,Campos do Jordão (SP)
35050,São José dos Campos (SP)
35051,Guaratinguetá (SP)
35052,Bananal (SP)
35053,Paraibuna/Paraitinga (SP)
35054,Caraguatatuba (SP)
35055,Registro (SP)
35056,Itanhaém (SP)
35057,Osasco (SP)
35058,Franco da Rocha (SP)
35059,Guarulhos (SP)
35060,Itapecerica da Serra (SP)
35061,São Paulo (SP)
35062,Mogi das Cruzes (SP)
35063,Santos (SP)
25014,Esperança (PB)
31026,Bom Despacho (MG)
35001,Jales (SP)
35002,Fernandópolis (SP)
35003,Votuporanga (SP)
35004,São José do Rio Preto (SP)
35005,Catanduva (SP)
35006,Auriflama (SP)
35007,Nhandeara (SP)
35008,Novo Horizonte (SP)
35009,Barretos (SP)
35010,São Joaquim da Barra (SP)
35011,Ituverava (SP)
35012,Franca (SP)
35013,Jaboticabal (SP)
35014,Ribeirão Preto (SP)
35015,Batatais (SP)
35016,Andradina (SP)
35017,Araçatuba (SP)
35018,Birigui (SP)
35019,Lins (SP)
35020,Bauru (SP)
35021,Jaú (SP)
35022,Avaré (SP)
35023,Botucatu (SP)
35024,Araraquara (SP)
35025,São Carlos (SP)
35026,Rio Claro (SP)
35027,Limeira (SP)
35028,Piracicaba (SP)
35029,Pirassununga (SP)
35030,São João da Boa Vista (SP)
35031,Mogi Mirim (SP)
35032,Campinas (SP)
35033,Amparo (SP)
35034,Dracena (SP)
35035,Adamantina (SP)
35036,Presidente Prudente (SP)
35037,Tupã (SP)
35038,Marília (SP)
35039,Assis (SP)
35040,Ourinhos (SP)
35041,Itapeva (SP)
35042,Itapetininga (SP)
35043,Tatuí (SP)
35044,Capão Bonito (SP)
35045,Piedade (SP)
35046,Sorocaba (SP)
35047,Jundiaí (SP)
35048,Bragança Paulista (SP)
35049,Campos do Jordão (SP)
35050,São José dos Campos (SP)
35051,Guaratinguetá (SP)
35052,Bananal (SP)
35053,Paraibuna/Paraitinga (SP)
35054,Caraguatatuba (SP)
35055,Registro (SP)
35056,Itanhaém (SP)
35057,Osasco (SP)
35058,Franco da Rocha (SP)
35059,Guarulhos (SP)
35060,Itapecerica da Serra (SP)
35061,São Paulo (SP)
35062,Mogi das Cruzes (SP)
35063,Santos (SP)
25014,Esperança (PB)
31026,Bom Despacho (MG)
35001,Jales (SP)
35002,Fernandópolis (SP)
35003,Votuporanga (SP)
35004,São José do Rio Preto (SP)
35005,Catanduva (SP)
35006,Auriflama (SP)
35007,Nhandeara (SP)
35008,Novo Horizonte (SP)
35009,Barretos (SP)
35010,São Joaquim da Barra (SP)
35011,Ituverava (SP)
35012,Franca (SP)
35013,Jaboticabal (SP)
35014,Ribeirão Preto (SP)
35015,Batatais (SP)
35016,Andradina (SP)
35017,Araçatuba (SP)
35018,Birigui (SP)
35019,Lins (SP)
35020,Bauru (SP)
35021,Jaú (SP)
35022,Avaré (SP)
35023,Botucatu (SP)
35024,Araraquara (SP)
35025,São Carlos (SP)
35026,Rio Claro (SP)
35027,Limeira (SP)
35028,Piracicaba (SP)
35029,Pirassununga (SP)
35030,São João da Boa Vista (SP)
35031,Mogi Mirim (SP)
35032,Campinas (SP)
35033,Amparo (SP)
35034,Dracena (SP)
35035,Adamantina (SP)
35036,Presidente Prudente (SP)
35037,Tupã (SP)
35038,Marília (SP)
35039,Assis (SP)
35040,Ourinhos (SP)
35041,Itapeva (SP)
35042,Itapetininga (SP)
35043,Tatuí (SP)
35044,Capão Bonito (SP)
35045,Piedade (SP)
35046,Sorocaba (SP)
35047,Jundiaí (SP)
35048,Bragança Paulista (SP)
35049,Campos do Jordão (SP)
35050,São José dos Campos (SP)
35051,Guaratinguetá (SP)
35052,Bananal (SP)
35053,Paraibuna/Paraitinga (SP)
35054,Caraguatatuba (SP)
35055,Registro (SP)
35056,Itanhaém (SP)
35057,Osasco (SP)
35058,Franco da Rocha (SP)
35059,Guarulhos (SP)
35060,Itapecerica da Serra (SP)
35061,São Paulo (SP)
35062,Mogi das Cruzes (SP)
35063,Santos (SP)
25014,Esperança (PB)
31026,Bom Despacho (MG)
35001,Jales (SP)
35002,Fernandópolis (SP)
35003,Votuporanga (SP)
35004,São José do Rio Preto (SP)
35005,Catanduva (SP)
35006,Auriflama (SP)
35007,Nhandeara (SP)
35008,Novo Horizonte (SP)
35009,Barretos (SP)
35010,São Joaquim da Barra (SP)
35011,Ituverava (SP)
35012,Franca (SP)
35013,Jaboticabal (SP)
35014,Ribeirão Preto (SP)
35015,Batatais (SP)
35016,Andradina (SP)
35017,Araçatuba (SP)
35018,Birigui (SP)
35019,Lins (SP)
35020,Bauru (SP)
35021,Jaú (SP)
35022,Avaré (SP)
35023,Botucatu (SP)
35024,Araraquara (SP)
35025,São Carlos (SP)
35026,Rio Claro (SP)
35027,Limeira (SP)
35028,Piracicaba (SP)
35029,Pirassununga (SP)
35030,São João da Boa Vista (SP)
35031,Mogi Mirim (SP)
35032,Campinas (SP)
35033,Amparo (SP)
35034,Dracena (SP)
35035,Adamantina (SP)
35036,Presidente Prudente (SP)
35037,Tupã (SP)
35038,Marília (SP)
35039,Assis (SP)
35040,Ourinhos (SP)
35041,Itapeva (SP)
35042,Itapetininga (SP)
35043,Tatuí (SP)
35044,Capão Bonito (SP)
35045,Piedade (SP)
35046,Sorocaba (SP)
35047,Jundiaí (SP)
35048,Bragança Paulista (SP)
35049,Campos do Jordão (SP)
35050,São José dos Campos (SP)
35051,Guaratinguetá (SP)
35052,Bananal (SP)
35053,Paraibuna/Paraitinga (SP)
35054,Caraguatatuba (SP)
35055,Registro (SP)
35056,Itanhaém (SP)
35057,Osasco (SP)
35058,Franco da Rocha (SP)
35059,Guarulhos (SP)
35060,Itapecerica da Serra (SP)
35061,São Paulo (SP)
35062,Mogi das Cruzes (SP)
35063,Santos (SP)
25014,Esperança (PB)
31026,Bom Despacho (MG)
35001,Jales (SP)
35002,Fernandópolis (SP)
35003,Votuporanga (SP)
35004,São José do Rio Preto (SP)
35005,Catanduva (SP)
35006,Auriflama (SP)
35007,Nhandeara (SP)
35008,Novo Horizonte (SP)
35009,Barretos (SP)
35010,São Joaquim da Barra (SP)
35011,Ituverava (SP)
35012,Franca (SP)
35013,Jaboticabal (SP)
35014,Ribeirão Preto (SP)
35015,Batatais (SP)
35016,Andradina (SP)
35017,Araçatuba (SP)
35018,Birigui (SP)
35019,Lins (SP)
35020,Bauru (SP)
35021,Jaú (SP)
35022,Avaré (SP)
35023,Botucatu (SP)
35024,Araraquara (SP)
35025,São Carlos (SP)
35026,Rio Claro (SP)
35027,Limeira (SP)
35028,Piracicaba (SP)
35029,Pirassununga (SP)
35030,São João da Boa Vista (SP)
35031,Mogi Mirim (SP)
35032,Campinas (SP)
35033,Amparo (SP)
35034,Dracena (SP)
35035,Adamantina (SP)
35036,Presidente Prudente (SP)
35037,Tupã (SP)
35038,Marília (SP)
35039,Assis (SP)
35040,Ourinhos (SP)
35041,Itapeva (SP)
35042,Itapetininga (SP)
35043,Tatuí (SP)
35044,Capão Bonito (SP)
35045,Piedade (SP)
35046,Sorocaba (SP)
35047,Jundiaí (SP)
35048,Bragança Paulista (SP)
35049,Campos do Jordão (SP)
35050,São José dos Campos (SP)
35051,Guaratinguetá (SP)
35052,Bananal (SP)
35053,Paraibuna/Paraitinga (SP)
35054,Caraguatatuba (SP)
35055,Registro (SP)
35056,Itanhaém (SP)
35057,Osasco (SP)
35058,Franco da Rocha (SP)
35059,Guarulhos (SP)
35060,Itapecerica da Serra (SP)
35061,São Paulo (SP)
35062,Mogi das Cruzes (SP)
35063,Santos (SP)
25014,Esperança (PB)
31026,Bom Despacho (MG)
35001,Jales (SP)
35002,Fernandópolis (SP)
35003,Votuporanga (SP)
35004,São José do Rio Preto (SP)
35005,Catanduva (SP)
35006,Auriflama (SP)
35007,Nhandeara (SP)
35008,Novo Horizonte (SP)
35009,Barretos (SP)
35010,São Joaquim da Barra (SP)
35011,Ituverava (SP)
35012,Franca (SP)
35013,Jaboticabal (SP)
35014,Ribeirão Preto (SP)
35015,Batatais (SP)
35016,Andradina (SP)
35017,Araçatuba (SP)
35018,Birigui (SP)
35019,Lins (SP)
35020,Bauru (SP)
35021,Jaú (SP)
35022,Avaré (SP)
35023,Botucatu (SP)
35024,Araraquara (SP)
35025,São Carlos (SP)
35026,Rio Claro (SP)
35027,Limeira (SP)
35028,Piracicaba (SP)
35029,Pirassununga (SP)
35030,São João da Boa Vista (SP)
35031,Mogi Mirim (SP)
35032,Campinas (SP)
35033,Amparo (SP)
35034,Dracena (SP)
35035,Adamantina (SP)
35036,Presidente Prudente (SP)
35037,Tupã (SP)
35038,Marília (SP)
35039,Assis (SP)
35040,Ourinhos (SP)
35041,Itapeva (SP)
35042,Itapetininga (SP)
35043,Tatuí (SP)
35044,Capão Bonito (SP)
35045,Piedade (SP)
35046,Sorocaba (SP)
35047,Jundiaí (SP)
35048,Bragança Paulista (SP)
35049,Campos do Jordão (SP)
35050,São José dos Campos (SP)
35051,Guaratinguetá (SP)
35052,Bananal (SP)
35053,Paraibuna/Paraitinga (SP)
35054,Caraguatatuba (SP)
35055,Registro (SP)
35056,Itanhaém (SP)
35057,Osasco (SP)
35058,Franco da Rocha (SP)
35059,Guarulhos (SP)
35060,Itapecerica da Serra (SP)
35061,São Paulo (SP)
35062,Mogi das Cruzes (SP)
35063,Santos (SP)
25014,Esperança (PB)
31026,Bom Despacho (MG)
35001,Jales (SP)
35002,Fernandópolis (SP)
35003,Votuporanga (SP)
35004,São José do Rio Preto (SP)
35005,Catanduva (SP)
35006,Auriflama (SP)
35007,Nhandeara (SP)
35008,Novo Horizonte (SP)
35009,Barretos (SP)
35010,São Joaquim da Barra (SP)
35011,Ituverava (SP)
35012,Franca (SP)
35013,Jaboticabal (SP)
35014,Ribeirão Preto (SP)
35015,Batatais (SP)
35016,Andradina (SP)
35017,Araçatuba (SP)
35018,Birigui (SP)
35019,Lins (SP)
35020,Bauru (SP)
35021,Jaú (SP)
35022,Avaré (SP)
35023,Botucatu (SP)
35024,Araraquara (SP)
35025,São Carlos (SP)
35026,Rio Claro (SP)
35027,Limeira (SP)
35028,Piracicaba (SP)
35029,Pirassununga (SP)
35030,São João da Boa Vista (SP)
35031,Mogi Mirim (SP)
35032,Campinas (SP)
35033,Amparo (SP)
35034,Dracena (SP)
35035,Adamantina (SP)
35036,Presidente Prudente (SP)
35037,Tupã (SP)
35038,Marília (SP)
35039,Assis (SP)
35040,Ourinhos (SP)
35041,Itapeva (SP)
35042,Itapetininga (SP)
35043,Tatuí (SP)
35044,Capão Bonito (SP)
35045,Piedade (SP)
35046,Sorocaba (SP)
35047,Jundiaí (SP)
35048,Bragança Paulista (SP)
35049,Campos do Jordão (SP)
35050,São José dos Campos (SP)
35051,Guaratinguetá (SP)
35052,Bananal (SP)
35053,Paraibuna/Paraitinga (SP)
35054,Caraguatatuba (SP)
35055,Registro (SP)
35056,Itanhaém (SP)
35057,Osasco (SP)
35058,Franco da Rocha (SP)
35059,Guarulhos (SP)
35060,Itapecerica da Serra (SP)
35061,São Paulo (SP)
35062,Mogi das Cruzes (SP)
35063,Santos (SP)
25014,Esperança (PB)
31026,Bom Despacho (MG)
35001,Jales (SP)
35002,Fernandópolis (SP)
35003,Votuporanga (SP)
35004,São José do Rio Preto (SP)
35005,Catanduva (SP)
35006,Auriflama (SP)
35007,Nhandeara (SP)
35008,Novo Horizonte (SP)
35009,Barretos (SP)
35010,São Joaquim da Barra (SP)
35011,Ituverava (SP)
35012,Franca (SP)
35013,Jaboticabal (SP)
35014,Ribeirão Preto (SP)
35015,Batatais (SP)
35016,Andradina (SP)
35017,Araçatuba (SP)
35018,Birigui (SP)
35019,Lins (SP)
35020,Bauru (SP)
35021,Jaú (SP)
35022,Avaré (SP)
35023,Botucatu (SP)
35024,Araraquara (SP)
35025,São Carlos (SP)
35026,Rio Claro (SP)
35027,Limeira (SP)
35028,Piracicaba (SP)
35029,Pirassununga (SP)
35030,São João da Boa Vista (SP)
35031,Mogi Mirim (SP)
35032,Campinas (SP)
35033,Amparo (SP)
35034,Dracena (SP)
35035,Adamantina (SP)
35036,Presidente Prudente (SP)
35037,Tupã (SP)
35038,Marília (SP)
35039,Assis (SP)
35040,Ourinhos (SP)
35041,Itapeva (SP)
35042,Itapetininga (SP)
35043,Tatuí (SP)
35044,Capão Bonito (SP)
35045,Piedade (SP)
35046,Sorocaba (SP)
35047,Jundiaí (SP)
35048,Bragança Paulista (SP)
35049,Campos do Jordão (SP)
35050,São José dos Campos (SP)
35051,Guaratinguetá (SP)
35052,Bananal (SP)
35053,Paraibuna/Paraitinga (SP)
35054,Caraguatatuba (SP)
35055,Registro (SP)
35056,Itanhaém (SP)
35057,Osasco (SP)
35058,Franco da Rocha (SP)
35059,Guarulhos (SP)
35060,Itapecerica da Serra (SP)
35061,São Paulo (SP)
35062,Mogi das Cruzes (SP)
35063,Santos (SP)